Sample in Buffer,Sample in Window,TRIGGER,design_2_i/adc_bit_decoder_0_t_ready,design_2_i/ZmodScopeController_0_cDataAxisTvalid,design_2_i/delay_96_cycles_0_dout,design_2_i/adc_bit_decoder_0_bit_out,design_2_i/comparator_0_correct_bits[13:0],design_2_i/comparator_0_whole_bits[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
183,183,0,1,0,1,0,6613,16219
184,184,0,1,1,1,0,6613,16219
185,185,0,1,0,1,0,6613,16219
186,186,0,1,0,1,0,6613,16219
187,187,0,1,0,1,0,6613,16219
188,188,0,1,1,1,0,6613,16219
189,189,0,1,0,1,0,6613,16219
190,190,0,1,0,1,0,6613,16219
191,191,0,1,0,1,0,6613,16219
192,192,0,1,1,1,0,6613,16219
193,193,0,1,0,1,1,6613,16219
194,194,0,1,0,1,1,6613,16219
195,195,0,1,0,1,1,6613,16219
196,196,0,1,1,0,1,6613,16219
197,197,0,1,0,0,0,6613,16219
198,198,0,1,0,0,0,6613,16219
199,199,0,1,0,0,0,6613,16220
200,200,0,1,1,0,0,6613,16220
201,201,0,1,0,0,1,6613,16220
202,202,0,1,0,0,1,6613,16220
203,203,0,1,0,0,1,6613,16220
204,204,0,1,1,0,1,6613,16220
205,205,0,1,0,0,0,6613,16220
206,206,0,1,0,0,0,6613,16220
207,207,0,1,0,0,0,6613,16220
208,208,0,1,1,0,0,6613,16220
209,209,0,1,0,0,0,6613,16220
210,210,0,1,0,0,0,6614,16220
211,211,0,1,0,0,0,6614,16220
212,212,0,1,1,0,0,6614,16220
213,213,0,1,0,0,0,6614,16220
214,214,0,1,0,0,0,6614,16220
215,215,0,1,0,0,0,6614,16220
216,216,0,1,1,0,0,6614,16220
217,217,0,1,0,0,1,6614,16220
218,218,0,1,0,0,1,6614,16220
219,219,0,1,0,0,1,6614,16221
220,220,0,1,1,0,1,6614,16221
221,221,0,1,0,0,0,6614,16221
222,222,0,1,0,0,0,6614,16221
223,223,0,1,0,0,0,6614,16221
224,224,0,1,1,0,0,6614,16221
225,225,0,1,0,0,1,6614,16221
226,226,0,1,0,0,1,6614,16221
227,227,0,1,0,0,1,6614,16221
228,228,0,1,1,0,1,6614,16221
229,229,0,1,0,0,1,6614,16221
230,230,0,1,0,0,1,6614,16221
231,231,0,1,0,0,1,6614,16221
232,232,0,1,1,0,1,6614,16221
233,233,0,1,0,0,1,6614,16221
234,234,0,1,0,0,1,6614,16221
235,235,0,1,0,0,1,6614,16221
236,236,0,1,1,0,1,6614,16221
237,237,0,1,0,0,1,6614,16221
238,238,0,1,0,0,1,6614,16221
239,239,0,1,0,0,1,6614,16222
240,240,0,1,1,0,1,6614,16222
241,241,0,1,0,0,1,6614,16222
242,242,0,1,0,0,1,6614,16222
243,243,0,1,0,0,1,6614,16222
244,244,0,1,1,0,1,6614,16222
245,245,0,1,0,0,1,6614,16222
246,246,0,1,0,0,1,6614,16222
247,247,0,1,0,0,1,6614,16222
248,248,0,1,1,0,1,6614,16222
249,249,0,1,0,0,0,6614,16222
250,250,0,1,0,0,0,6615,16222
251,251,0,1,0,0,0,6615,16222
252,252,0,1,1,0,0,6615,16222
253,253,0,1,0,0,1,6615,16222
254,254,0,1,0,0,1,6615,16222
255,255,0,1,0,0,1,6615,16222
256,256,0,1,1,0,1,6615,16222
257,257,0,1,0,0,0,6615,16222
258,258,0,1,0,0,0,6615,16222
259,259,0,1,0,0,0,6615,16223
260,260,0,1,1,0,0,6615,16223
261,261,0,1,0,0,0,6615,16223
262,262,0,1,0,0,0,6615,16223
263,263,0,1,0,0,0,6615,16223
264,264,0,1,1,0,0,6615,16223
265,265,0,1,0,0,1,6615,16223
266,266,0,1,0,0,1,6615,16223
267,267,0,1,0,0,1,6615,16223
268,268,0,1,1,0,1,6615,16223
269,269,0,1,0,0,1,6615,16223
270,270,0,1,0,0,1,6615,16223
271,271,0,1,0,0,1,6615,16223
272,272,0,1,1,0,1,6615,16223
